Date,Open,High,Low,Close,Adj Close,Volume
12/3/12,24.700001,25.280001,24.51,25.17,25.17,47500
12/10/12,24.98,25.18,24.799999,25.15,25.15,42400
12/17/12,25.18,25.25,24,24.360001,24.360001,55800
12/24/12,24.459999,25.99,24.16,24.23,24.23,21200
12/31/12,24.040001,24.5,23.280001,23.450001,23.450001,28500
1/7/13,23.629999,23.85,23.190001,23.48,23.48,56000
1/14/13,23.139999,24.360001,23.139999,24.190001,24.190001,76300
1/21/13,24.469999,24.629999,24.110001,24.34,24.34,38300
1/28/13,24.290001,25.02,24.290001,24.940001,24.940001,45200
2/4/13,25.200001,25.32,24.200001,24.26,24.26,76900
2/11/13,23.969999,24.02,23.620001,23.860001,23.860001,66000
2/18/13,24.139999,24.799999,24.129999,24.16,24.16,33800
2/25/13,24.15,24.389999,23.82,24.110001,24.110001,47400
3/4/13,24.049999,24.58,24.049999,24.389999,24.389999,26400
3/11/13,24.440001,24.51,23.469999,23.5,23.5,36600
3/18/13,23.67,25,23.629999,23.969999,23.969999,28800
3/25/13,23.030001,24.57,23.030001,24.23,24.23,41400
4/1/13,23.66,23.709999,22.1,23.1,23.1,76000
4/8/13,23.110001,23.48,22.42,23.440001,23.440001,24700
4/15/13,22.610001,24.059999,22.32,23.129999,23.129999,18600
4/22/13,22.51,23.799999,22.26,23.200001,23.200001,35900
4/29/13,23.799999,24.200001,22.98,23.469999,23.469999,46600
5/6/13,23.200001,23.629999,22.809999,23.120001,23.120001,44200
5/13/13,23.5,23.629999,23.190001,23.58,23.58,35700
5/20/13,23.41,24.030001,23.24,23.940001,23.940001,53500
5/27/13,24.059999,25.059999,24.059999,24.77,24.77,69600
6/3/13,25.299999,25.4,24.52,25.23,25.23,82200
6/10/13,25.08,25.23,24.469999,24.690001,24.690001,53200
6/17/13,24.389999,24.93,23.860001,24.02,24.02,40700
6/24/13,23.83,24.24,22.549999,23.549999,23.549999,37100
7/1/13,23.65,23.66,23.040001,23.48,23.48,7800
7/8/13,23.68,24.889999,23.629999,23.65,23.65,23200
7/15/13,23.66,24.290001,23.65,23.83,23.83,7200
7/22/13,24,24.190001,22.780001,23.01,23.01,21400
7/29/13,22.99,23,22.24,22.25,22.25,28400
8/5/13,22.280001,22.4,21.5,22.200001,22.200001,22900
8/12/13,22.48,23.440001,22.450001,23.25,23.25,58300
8/19/13,25.389999,25.389999,23.5,24.1,24.1,52400
8/26/13,25,25.41,23.83,24.51,24.51,55400
9/2/13,25.200001,25.23,24.040001,24.49,24.49,36700
9/9/13,24.52,25,24.129999,24.49,24.49,51700
9/16/13,24.35,24.59,23.719999,23.74,23.74,31200
9/23/13,23.780001,23.9,23.09,23.83,23.83,28600
9/30/13,24,24,22.98,23.48,23.48,38100
10/7/13,23.65,23.65,22.950001,22.950001,22.950001,25300
10/14/13,23.030001,23.370001,22.77,23.280001,23.280001,33000
10/21/13,23.4,23.559999,23.15,23.200001,23.200001,23900
10/28/13,23.01,23.1,22.540001,22.6,22.6,26700
11/4/13,22.75,23.18,22.540001,23.16,23.16,8600
11/11/13,22.719999,23.52,22.719999,22.889999,22.889999,21100
11/18/13,23.030001,23.51,22.809999,23.49,23.49,29500
11/25/13,23,23.549999,23,23.43,23.43,10300
12/2/13,23.59,23.59,23.25,23.33,23.33,33800
12/9/13,23.530001,23.77,23.25,23.42,23.42,24100
12/16/13,23.43,23.76,23.389999,23.690001,23.690001,27100
12/23/13,23.57,23.6,23.190001,23.27,23.27,7700
12/30/13,23.219999,23.23,22.5,22.68,22.68,10900
1/6/14,22.67,22.709999,22.299999,22.41,22.41,13100
1/13/14,22.280001,23.1,22.280001,23.040001,23.040001,14200
1/20/14,22.76,22.76,22.41,22.5,22.5,10900
1/27/14,22.5,22.549999,22.1,22.5,22.5,13100
2/3/14,22.209999,23.49,22.200001,23.059999,23.059999,22900
2/10/14,23.43,23.5,21.51,23.27,23.27,25600
2/17/14,23.280001,23.870001,22.200001,23.870001,23.870001,24500
2/24/14,23.99,24.719999,23,24.59,24.59,46200
3/3/14,25.49,25.83,23.110001,25.049999,25.049999,59200
3/10/14,25.219999,25.299999,23.52,24.139999,24.139999,48500
3/17/14,24.459999,26.51,23.65,24.35,24.35,44000
3/24/14,24.549999,24.799999,23.719999,24.620001,24.620001,25400
3/31/14,24.440001,25.58,24.389999,25.09,25.09,37900
4/7/14,25.32,25.85,24.950001,25.18,25.18,40600
4/14/14,25.27,26.33,25.27,25.860001,25.860001,75400
4/21/14,25.42,25.860001,25.09,25.77,25.77,40400
4/28/14,25.959999,26.790001,25,25.48,25.48,34800
5/5/14,25.41,25.59,25.16,25.530001,25.530001,16600
5/12/14,25.700001,25.99,24.379999,25.459999,25.459999,27400
5/19/14,25.57,27.309999,25.49,26.32,26.32,25400
5/26/14,26.32,26.6,25.110001,25.549999,25.549999,25800
6/2/14,25.450001,25.610001,24.82,25.41,25.41,57100
6/9/14,25.200001,25.68,24.620001,25.389999,25.389999,35100
6/16/14,25.66,25.790001,25,25.51,25.51,17100
6/23/14,25.629999,25.719999,25.290001,25.33,25.33,10600
6/30/14,25.1,25.370001,23.52,23.709999,23.709999,60700
7/7/14,23.5,23.85,22.440001,22.52,22.52,55000
7/14/14,22.65,23.34,22.459999,22.75,22.75,52100
7/21/14,22.42,23.02,22.200001,23.02,23.02,40700
7/28/14,23.24,23.549999,22.139999,22.18,22.18,32300
8/4/14,22.530001,23.030001,22.18,22.540001,22.540001,25000
8/11/14,22.290001,22.67,21.860001,21.950001,21.950001,14200
8/18/14,21.92,22.09,21.65,21.77,21.77,22700
8/25/14,21.690001,21.690001,21.33,21.43,21.43,36400
9/1/14,21.469999,21.620001,20.98,21.290001,21.290001,20800
9/8/14,21.360001,21.360001,20.299999,20.5,20.5,16400
9/15/14,20.6,21.870001,20.040001,20.049999,20.049999,23500
9/22/14,20.139999,20.139999,19.15,19.17,19.17,20800
9/29/14,19.15,19.49,19.07,19.08,19.08,32100
10/6/14,19.34,21.25,19.33,19.370001,19.370001,44600
10/13/14,19.4,20.440001,19.389999,19.879999,19.879999,73800
10/20/14,19.76,22.469999,19.58,20.280001,20.280001,289700
10/27/14,20.25,21.51,20.1,21.370001,21.370001,130700
11/3/14,21.299999,21.299999,20.450001,21.290001,21.290001,168900
11/10/14,21.450001,22.120001,20.92,21.030001,21.030001,132800
11/17/14,21.040001,21.290001,20.58,21.24,21.24,73200
11/24/14,21.040001,21.48,20.700001,20.73,20.73,61500
12/1/14,20.700001,21.190001,19.969999,21.15,21.15,103900
12/8/14,21.200001,21.42,20.959999,21.27,21.27,51800
12/15/14,21.290001,21.290001,20.76,21.110001,21.110001,50200
12/22/14,21.200001,21.4,21.01,21.4,21.4,34100
12/29/14,21.459999,21.620001,20.450001,20.450001,20.450001,66400
1/5/15,20.65,21.48,20.65,21.190001,21.190001,76300
1/12/15,21.18,21.18,19.969999,20.07,20.07,116700
1/19/15,19.959999,20.309999,19.26,19.719999,19.719999,76600
1/26/15,19.83,19.98,19.299999,19.49,19.49,41500
2/2/15,19.5,20.219999,19.43,19.719999,19.719999,117600
2/9/15,19.700001,20.129999,19.360001,20.030001,20.030001,103600
2/16/15,20.059999,20.469999,20.030001,20.139999,20.139999,52700
2/23/15,20.360001,20.77,20.030001,20.65,20.65,73300
3/2/15,20.809999,20.9,19.690001,19.790001,19.790001,71600
3/9/15,19.93,20.07,19.59,19.59,19.59,18700
3/16/15,19.559999,19.68,19.219999,19.559999,19.559999,81700
3/23/15,19.719999,19.9,19.440001,19.440001,19.440001,22100
3/30/15,19.450001,20.040001,19.219999,20.040001,20.040001,21200
4/6/15,20,20,19,19.299999,19.299999,21900
4/13/15,19.299999,19.68,19.200001,19.58,19.58,17300
4/20/15,19.610001,19.77,19.450001,19.51,19.51,34800
4/27/15,19.6,19.809999,19.27,19.280001,19.280001,32700
5/4/15,19.450001,19.719999,19.379999,19.49,19.49,41100
5/11/15,19.49,19.540001,19.110001,19.18,19.18,66700
5/18/15,19.209999,19.35,18.6,18.67,18.67,116000
5/25/15,18.59,18.690001,18.469999,18.57,18.57,34600
6/1/15,18.48,19,18.43,18.780001,18.780001,69900
6/8/15,18.780001,19.040001,18.469999,18.51,18.51,32900
6/15/15,18.469999,19.200001,18.35,19.08,19.08,51700
6/22/15,19.17,20.120001,19.15,19.75,19.75,103900
6/29/15,19.879999,20.790001,19.59,20.530001,20.530001,193100
7/6/15,20.25,20.559999,19.67,20.35,20.35,142600
7/13/15,20.25,20.530001,20,20.049999,20.049999,87900
7/20/15,19.84,20.09,19.059999,19.219999,19.219999,81000
